,words,preprocessed_words,tokenised_words,pre_tok_words,true,pred,sentence,agreement,model_name,preprocessing
0,الصالحية,"['ال', '##صالح', '##ية']","['ال', '##صالح', '##ية']","['ال', '##صالح', '##ية']",B-LOC,B-LOC,sentence#0,True,mbert,without_preprocessing
1,المفرق,"['ال', '##م', '##فر', '##ق']","['ال', '##م', '##فر', '##ق']","['ال', '##م', '##فر', '##ق']",B-LOC,O,sentence#0,False,mbert,without_preprocessing
2,-,['-'],['-'],['-'],O,O,sentence#0,True,mbert,without_preprocessing
3,غيث,"['غ', '##يث']","['غ', '##يث']","['غ', '##يث']",B-PERS,B-ORG,sentence#0,False,mbert,without_preprocessing
4,الطراونة,"['ال', '##طر', '##اون', '##ة']","['ال', '##طر', '##اون', '##ة']","['ال', '##طر', '##اون', '##ة']",I-PERS,I-ORG,sentence#0,False,mbert,without_preprocessing
5,-,['-'],['-'],['-'],O,O,sentence#0,True,mbert,without_preprocessing
6,أمر,['امر'],['امر'],['امر'],O,O,sentence#0,True,mbert,without_preprocessing
7,جلالة,"['ج', '##لال', '##ة']","['ج', '##لال', '##ة']","['ج', '##لال', '##ة']",O,O,sentence#0,True,mbert,without_preprocessing
8,الملك,['الملك'],['الملك'],['الملك'],O,O,sentence#0,True,mbert,without_preprocessing
9,عبدالله,['عبدالله'],['عبدالله'],['عبدالله'],B-PERS,B-PERS,sentence#0,True,mbert,without_preprocessing
10,الثاني,['الثاني'],['الثاني'],['الثاني'],I-PERS,I-PERS,sentence#0,True,mbert,without_preprocessing
11,أمس,"['ام', '##س']","['ام', '##س']","['ام', '##س']",O,O,sentence#0,True,mbert,without_preprocessing
12,بتنفيذ,"['ب', '##تن', '##فيذ']","['ب', '##تن', '##فيذ']","['ب', '##تن', '##فيذ']",O,O,sentence#0,True,mbert,without_preprocessing
13,حزمة,"['ح', '##زمة']","['ح', '##زمة']","['ح', '##زمة']",O,O,sentence#0,True,mbert,without_preprocessing
14,من,['من'],['من'],['من'],O,O,sentence#0,True,mbert,without_preprocessing
15,المشاريع,"['ال', '##م', '##شار', '##يع']","['ال', '##م', '##شار', '##يع']","['ال', '##م', '##شار', '##يع']",O,O,sentence#0,True,mbert,without_preprocessing
16,التعليمية,"['التعليم', '##ية']","['التعليم', '##ية']","['التعليم', '##ية']",O,O,sentence#0,True,mbert,without_preprocessing
17,والصحية,"['و', '##ال', '##صحية']","['و', '##ال', '##صحية']","['و', '##ال', '##صحية']",O,O,sentence#0,True,mbert,without_preprocessing
18,والتنموية,"['و', '##الت', '##ن', '##مو', '##ية']","['و', '##الت', '##ن', '##مو', '##ية']","['و', '##الت', '##ن', '##مو', '##ية']",O,O,sentence#0,True,mbert,without_preprocessing
19,وأخرى,"['و', '##اخ', '##رى']","['و', '##اخ', '##رى']","['و', '##اخ', '##رى']",O,O,sentence#0,True,mbert,without_preprocessing
20,مرتبطة,"['م', '##رتبط', '##ة']","['م', '##رتبط', '##ة']","['م', '##رتبط', '##ة']",O,O,sentence#0,True,mbert,without_preprocessing
21,بالأندية,"['بالا', '##ندية']","['بالا', '##ندية']","['بالا', '##ندية']",O,O,sentence#0,True,mbert,without_preprocessing
22,الشبابية,"['الشباب', '##ية']","['الشباب', '##ية']","['الشباب', '##ية']",O,O,sentence#0,True,mbert,without_preprocessing
23,و,['و'],['و'],['و'],O,O,sentence#0,True,mbert,without_preprocessing
24,27,['27'],['27'],['27'],O,O,sentence#0,True,mbert,without_preprocessing
25,وحدة,['وحدة'],['وحدة'],['وحدة'],O,O,sentence#0,True,mbert,without_preprocessing
26,سكنية,['سكنية'],['سكنية'],['سكنية'],O,O,sentence#0,True,mbert,without_preprocessing
27,في,['في'],['في'],['في'],O,O,sentence#0,True,mbert,without_preprocessing
28,قضاء,"['ق', '##ضاء']","['ق', '##ضاء']","['ق', '##ضاء']",O,O,sentence#0,True,mbert,without_preprocessing
29,الصالحية,"['ال', '##صالح', '##ية']","['ال', '##صالح', '##ية']","['ال', '##صالح', '##ية']",B-LOC,B-LOC,sentence#0,True,mbert,without_preprocessing
30,ونايفة,"['و', '##نا', '##يفة']","['و', '##نا', '##يفة']","['و', '##نا', '##يفة']",B-LOC,O,sentence#0,False,mbert,without_preprocessing
31,في,['في'],['في'],['في'],O,O,sentence#0,True,mbert,without_preprocessing
32,البادية,"['ال', '##باد', '##ية']","['ال', '##باد', '##ية']","['ال', '##باد', '##ية']",O,B-LOC,sentence#0,False,mbert,without_preprocessing
33,الشرقية,['الشرقية'],['الشرقية'],['الشرقية'],O,O,sentence#0,True,mbert,without_preprocessing
34,خلال,['خلال'],['خلال'],['خلال'],O,O,sentence#0,True,mbert,without_preprocessing
35,ستة,"['س', '##تة']","['س', '##تة']","['س', '##تة']",O,O,sentence#0,True,mbert,without_preprocessing
