,words,preprocessed_words,tokenised_words,pre_tok_words,true,pred,sentence,agreement
0,الصالحية,ال+ صالحي +ة,"['الص', '##الح', '##ية']","['ال+', 'صالحي', '+ة']",B-LOC,B-LOC,sentence#0,True
1,المفرق,ال+ مفرق,"['الم', '##فرق']","['ال+', 'مفرق']",B-LOC,B-LOC,sentence#0,True
2,-,-,['-'],['-'],O,O,sentence#0,True
3,غيث,غيث,['غيث'],['غيث'],B-PERS,B-PERS,sentence#0,True
4,الطراونة,ال+ طراونة,"['الط', '##را', '##ونة']","['ال+', 'طراونة']",I-PERS,I-PERS,sentence#0,True
5,-,-,['-'],['-'],O,O,sentence#0,True
6,أمر,أمر,['أمر'],['أمر'],O,O,sentence#0,True
7,جلالة,جلال +ة,"['جلال', '##ة']","['جلال', '+ة']",O,O,sentence#0,True
8,الملك,ال+ ملك,"['الم', '##لك']","['ال+', 'ملك']",O,O,sentence#0,True
9,عبدالله,عبدالله,['عبدالله'],['عبدالله'],B-PERS,B-PERS,sentence#0,True
10,الثاني,ال+ ثاني,"['ال', '##ثاني']","['ال+', 'ثاني']",I-PERS,I-PERS,sentence#0,True
11,أمس,أمس,['أمس'],['أمس'],O,O,sentence#0,True
12,بتنفيذ,ب+ تنفيذ,"['بت', '##نف', '##ي', '##ذ']","['ب+', 'تنفيذ']",O,O,sentence#0,True
13,حزمة,حزم +ة,"['حزم', '##ة']","['حزم', '+ة']",O,O,sentence#0,True
14,من,من,['من'],['من'],O,O,sentence#0,True
15,المشاريع,ال+ مشاريع,"['الم', '##شاري', '##ع']","['ال+', 'مشاريع']",O,O,sentence#0,True
16,التعليمية,ال+ تعليمي +ة,"['الت', '##علي', '##مية']","['ال+', 'تعليمي', '+ة']",O,O,sentence#0,True
17,والصحية,و+ ال+ صحي +ة,"['وال', '##صح', '##ية']","['و+', 'ال+', 'صحي', '+ة']",O,O,sentence#0,True
18,والتنموية,و+ ال+ تنموي +ة,"['والت', '##نم', '##وية']","['و+', 'ال+', 'تنموي', '+ة']",O,O,sentence#0,True
19,وأخرى,و+ أخرى,"['وأ', '##خر', '##ى']","['و+', 'أخرى']",O,O,sentence#0,True
20,مرتبطة,مرتبط +ة,"['مرتبط', '##ة']","['مرتبط', '+ة']",O,O,sentence#0,True
21,بالأندية,ب+ ال+ أندي +ة,"['بال', '##أن', '##دية']","['ب+', 'ال+', 'أندي', '+ة']",O,O,sentence#0,True
22,الشبابية,ال+ شبابي +ة,"['الش', '##باب', '##ية']","['ال+', 'شبابي', '+ة']",O,O,sentence#0,True
23,و,و,['و'],['و'],O,O,sentence#0,True
24,27,27,['27'],['27'],O,O,sentence#0,True
25,وحدة,وحد +ة,"['وحد', '##ة']","['وحد', '+ة']",O,O,sentence#0,True
26,سكنية,سكني +ة,"['سكني', '##ة']","['سكني', '+ة']",O,O,sentence#0,True
27,في,في,['في'],['في'],O,O,sentence#0,True
28,قضاء,قضاء,['قضاء'],['قضاء'],O,O,sentence#0,True
29,الصالحية,ال+ صالحي +ة,"['الص', '##الح', '##ية']","['ال+', 'صالحي', '+ة']",B-LOC,B-LOC,sentence#0,True
30,ونايفة,و+ نايف +ة,"['ونا', '##يفة']","['و+', 'نايف', '+ة']",B-LOC,B-LOC,sentence#0,True
31,في,في,['في'],['في'],O,O,sentence#0,True
32,البادية,ال+ بادي +ة,"['الب', '##ادية']","['ال+', 'بادي', '+ة']",O,B-LOC,sentence#0,False
33,الشرقية,ال+ شرقي +ة,"['الشر', '##قية']","['ال+', 'شرقي', '+ة']",O,O,sentence#0,True
34,خلال,خلال,['خلال'],['خلال'],O,O,sentence#0,True
35,ستة,ست +ة,"['ست', '##ة']","['ست', '+ة']",O,O,sentence#0,True
36,اشهر,أشهر,['اشهر'],['أشهر'],O,O,sentence#0,True
37,بتمويل,ب+ تمويل,"['بت', '##مو', '##يل']","['ب+', 'تمويل']",O,O,sentence#0,True
38,من,من,['من'],['من'],O,O,sentence#0,True
39,الديوان,ال+ ديوان,"['الدي', '##وان']","['ال+', 'ديوان']",O,O,sentence#0,True
40,الملكي,ال+ ملكي,"['الم', '##لكي']","['ال+', 'ملكي']",O,O,sentence#0,True
41,الهاشمي,ال+ هاشمي,"['اله', '##اشم', '##ي']","['ال+', 'هاشمي']",O,O,sentence#0,True
42,برند,برند,['برند'],['برند'],B-PERS,O,sentence#1,False
43,جلالته,جلال +ت +ه,"['جلال', '##ته']","['جلال', '+ت', '+ه']",O,O,sentence#1,True
44,خلال,خلال,['خلال'],['خلال'],O,O,sentence#1,True
45,اللقاء,ال+ لقاء,"['اللق', '##اء']","['ال+', 'لقاء']",O,O,sentence#1,True
46,الذي,الذي,['الذي'],['الذي'],O,O,sentence#1,True
47,جمعه,جمع +ه,['جمعه'],"['جمع', '+ه']",O,O,sentence#1,True
48,وأعضاء,و+ أعضاء,"['وأع', '##ضاء']","['و+', 'أعضاء']",O,O,sentence#1,True
49,اللجنة,ال+ لجن +ة,"['الل', '##جنة']","['ال+', 'لجن', '+ة']",O,O,sentence#1,True
50,المحورية,ال+ محوري +ة,"['المح', '##ورية']","['ال+', 'محوري', '+ة']",O,O,sentence#1,True
51,المعنية,ال+ معني +ة,"['المع', '##نية']","['ال+', 'معني', '+ة']",O,O,sentence#1,True
52,في,في,['في'],['في'],O,O,sentence#1,True
53,تحديد,تحديد,['تحديد'],['تحديد'],O,O,sentence#1,True
54,مطالب,مطالب,['مطالب'],['مطالب'],O,O,sentence#1,True
55,القضاء,ال+ قضاء,"['القض', '##اء']","['ال+', 'قضاء']",O,O,sentence#1,True
56,انه,+ان +ه,['انه'],"['+ان', '+ه']",O,O,sentence#1,True
57,يقدر,يقدر,['يقدر'],['يقدر'],O,O,sentence#1,True
58,الظروف,ال+ ظروف,"['ال', '##ظروف']","['ال+', 'ظروف']",O,O,sentence#1,True
59,والتحديات,و+ ال+ تحدي +ات,"['والت', '##حدي', '##ات']","['و+', 'ال+', 'تحدي', '+ات']",O,O,sentence#1,True
60,التي,التي,['التي'],['التي'],O,O,sentence#1,True
61,يواجهها,يواجه +ها,"['يواجه', '##ها']","['يواجه', '+ها']",O,O,sentence#1,True
62,أبناء,أبناء,['أبناء'],['أبناء'],O,O,sentence#1,True
63,الصالحية,ال+ صالحي +ة,"['الص', '##الح', '##ية']","['ال+', 'صالحي', '+ة']",B-LOC,B-LOC,sentence#1,True
64,ونايفة,و+ نايف +ة,"['ونا', '##يفة']","['و+', 'نايف', '+ة']",B-LOC,B-LOC,sentence#1,True
65,خصوصا,خصوص +ا,"['خصوص', '##ا']","['خصوص', '+ا']",O,O,sentence#1,True
66,فيما,فيما,['فيما'],['فيما'],O,O,sentence#1,True
67,يتعلق,يتعلق,['يتعلق'],['يتعلق'],O,O,sentence#1,True
68,بمشكلتي,ب+ مشكل +ت +ي,"['بمش', '##كل', '##تي']","['ب+', 'مشكل', '+ت', '+ي']",O,O,sentence#1,True
69,الفقر,ال+ فقر,"['الف', '##قر']","['ال+', 'فقر']",O,O,sentence#1,True
70,والبطالة,و+ ال+ بطال +ة,"['وال', '##بطال', '##ة']","['و+', 'ال+', 'بطال', '+ة']",O,O,sentence#1,True
71,مرتفع,مرتفع,['مرتفع'],['مرتفع'],O,O,sentence#2,True
72,جلالته,جلال +ت +ه,"['جلال', '##ته']","['جلال', '+ت', '+ه']",O,O,sentence#2,True
73,أريد,أريد,['أريد'],['أريد'],O,O,sentence#2,True
74,ان,ان,['ان'],['ان'],O,O,sentence#2,True
75,استمع,استمع,['استمع'],['استمع'],O,O,sentence#2,True
76,منكم,من +كم,"['منك', '##م']","['من', '+كم']",O,O,sentence#2,True
77,عن,عن,['عن'],['عن'],O,O,sentence#2,True
78,المشاريع,ال+ مشاريع,"['الم', '##شاري', '##ع']","['ال+', 'مشاريع']",O,O,sentence#2,True
