,words,tokenised_words,true,pred,sentence,agreement
0,SOCCER,['soccer'],O,O,sentence#0,True
1,-,['-'],O,O,sentence#0,True
2,JAPAN,['japan'],B-LOC,B-LOC,sentence#0,True
3,GET,['get'],O,O,sentence#0,True
4,LUCKY,['lucky'],O,O,sentence#0,True
5,WIN,['win'],O,O,sentence#0,True
6,",","[',']",O,O,sentence#0,True
7,CHINA,['china'],B-PER,B-LOC,sentence#0,False
8,IN,['in'],O,O,sentence#0,True
9,SURPRISE,['surprise'],O,O,sentence#0,True
10,DEFEAT,['defeat'],O,O,sentence#0,True
11,Nadim,"['nadi', '##m']",B-PER,B-PER,sentence#1,True
12,Ladki,"['la', '##d', '##ki']",I-PER,I-PER,sentence#1,True
13,AL-AIN,"['al', '-', 'ain']",B-LOC,B-LOC,sentence#1,True
14,",","[',']",O,O,sentence#1,True
15,United,['united'],B-LOC,B-LOC,sentence#1,True
16,Arab,['arab'],I-LOC,I-LOC,sentence#1,True
17,Emirates,['emirates'],I-LOC,I-LOC,sentence#1,True
18,1996-12-06,"['1996', '-', '12', '-', '06']",O,O,sentence#1,True
19,Japan,['japan'],B-LOC,B-LOC,sentence#1,True
20,began,['began'],O,O,sentence#1,True
21,the,['the'],O,O,sentence#1,True
22,defence,['defence'],O,O,sentence#1,True
23,of,['of'],O,O,sentence#1,True
24,their,['their'],O,O,sentence#1,True
25,Asian,['asian'],B-MISC,B-MISC,sentence#1,True
26,Cup,['cup'],I-MISC,I-MISC,sentence#1,True
27,title,['title'],O,O,sentence#1,True
28,with,['with'],O,O,sentence#1,True
29,a,['a'],O,O,sentence#1,True
30,lucky,['lucky'],O,O,sentence#1,True
31,2-1,"['2', '-', '1']",O,O,sentence#1,True
32,win,['win'],O,O,sentence#1,True
33,against,['against'],O,O,sentence#1,True
34,Syria,['syria'],B-LOC,B-LOC,sentence#1,True
35,in,['in'],O,O,sentence#1,True
36,a,['a'],O,O,sentence#1,True
37,Group,['group'],O,O,sentence#1,True
38,C,['c'],O,O,sentence#1,True
39,championship,['championship'],O,O,sentence#1,True
40,match,['match'],O,O,sentence#1,True
41,on,['on'],O,O,sentence#1,True
42,Friday,['friday'],O,O,sentence#1,True
43,But,['but'],O,O,sentence#2,True
44,China,['china'],B-LOC,B-LOC,sentence#2,True
45,saw,['saw'],O,O,sentence#2,True
46,their,['their'],O,O,sentence#2,True
47,luck,['luck'],O,O,sentence#2,True
48,desert,['desert'],O,O,sentence#2,True
49,them,['them'],O,O,sentence#2,True
50,in,['in'],O,O,sentence#2,True
51,the,['the'],O,O,sentence#2,True
52,second,['second'],O,O,sentence#2,True
53,match,['match'],O,O,sentence#2,True
54,of,['of'],O,O,sentence#2,True
55,the,['the'],O,O,sentence#2,True
56,group,['group'],O,O,sentence#2,True
57,",","[',']",O,O,sentence#2,True
58,crashing,"['crash', '##ing']",O,O,sentence#2,True
59,to,['to'],O,O,sentence#2,True
60,a,['a'],O,O,sentence#2,True
61,surprise,['surprise'],O,O,sentence#2,True
62,2-0,"['2', '-', '0']",O,O,sentence#2,True
63,defeat,['defeat'],O,O,sentence#2,True
64,to,['to'],O,O,sentence#2,True
65,newcomers,"['new', '##com', '##ers']",O,O,sentence#2,True
66,Uzbekistan,['uzbekistan'],B-LOC,B-LOC,sentence#2,True
67,China,['china'],B-LOC,B-LOC,sentence#3,True
68,controlled,['controlled'],O,O,sentence#3,True
69,most,['most'],O,O,sentence#3,True
70,of,['of'],O,O,sentence#3,True
71,the,['the'],O,O,sentence#3,True
72,match,['match'],O,O,sentence#3,True
73,and,['and'],O,O,sentence#3,True
74,saw,['saw'],O,O,sentence#3,True
75,several,['several'],O,O,sentence#3,True
76,chances,['chances'],O,O,sentence#3,True
77,missed,['missed'],O,O,sentence#3,True
