,words,preprocessed_words,tokenised_words,pre_tok_words,true,pred,sentence,agreement
0,الصالحية,without,"['▁الصالح', 'ية']",without,B-LOC,B-LOC,sentence#0,True
1,المفرق,without,"['▁الم', 'فرق']",without,B-LOC,I-LOC,sentence#0,False
2,-,without,['▁-'],without,O,O,sentence#0,True
3,غيث,without,"['▁غ', 'يث']",without,B-PERS,B-MISC,sentence#0,False
4,الطراونة,without,"['▁الط', 'را', 'ونة']",without,I-PERS,I-MISC,sentence#0,False
5,-,without,['▁-'],without,O,O,sentence#0,True
6,أمر,without,['▁أمر'],without,O,O,sentence#0,True
7,جلالة,without,"['▁جلال', 'ة']",without,O,O,sentence#0,True
8,الملك,without,['▁الملك'],without,O,O,sentence#0,True
9,عبدالله,without,['▁عبدالله'],without,B-PERS,B-PERS,sentence#0,True
10,الثاني,without,['▁الثاني'],without,I-PERS,I-PERS,sentence#0,True
11,أمس,without,['▁أمس'],without,O,O,sentence#0,True
12,بتنفيذ,without,"['▁ب', 'تنفيذ']",without,O,O,sentence#0,True
13,حزمة,without,"['▁', 'حزم', 'ة']",without,O,O,sentence#0,True
14,من,without,['▁من'],without,O,O,sentence#0,True
15,المشاريع,without,['▁المشاريع'],without,O,O,sentence#0,True
16,التعليمية,without,['▁التعليمية'],without,O,O,sentence#0,True
17,والصحية,without,"['▁والص', 'حية']",without,O,O,sentence#0,True
18,والتنموية,without,"['▁والت', 'نم', 'وية']",without,O,O,sentence#0,True
19,وأخرى,without,"['▁وأ', 'خرى']",without,O,O,sentence#0,True
20,مرتبطة,without,"['▁مرتبط', 'ة']",without,O,O,sentence#0,True
21,بالأندية,without,"['▁بالأ', 'ند', 'ية']",without,O,O,sentence#0,True
22,الشبابية,without,"['▁الشباب', 'ية']",without,O,O,sentence#0,True
23,و,without,['▁و'],without,O,O,sentence#0,True
24,27,without,['▁27'],without,O,O,sentence#0,True
25,وحدة,without,['▁وحدة'],without,O,O,sentence#0,True
26,سكنية,without,"['▁', 'سكن', 'ية']",without,O,O,sentence#0,True
27,في,without,['▁في'],without,O,O,sentence#0,True
28,قضاء,without,"['▁', 'قضاء']",without,O,O,sentence#0,True
29,الصالحية,without,"['▁الصالح', 'ية']",without,B-LOC,B-LOC,sentence#0,True
30,ونايفة,without,"['▁ون', 'اي', 'فة']",without,B-LOC,B-LOC,sentence#0,True
31,في,without,['▁في'],without,O,O,sentence#0,True
32,البادية,without,"['▁الب', 'ادية']",without,O,B-LOC,sentence#0,False
33,الشرقية,without,['▁الشرقية'],without,O,O,sentence#0,True
34,خلال,without,['▁خلال'],without,O,O,sentence#0,True
35,ستة,without,"['▁ست', 'ة']",without,O,O,sentence#0,True
