,words,preprocessed_words,tokenised_words,pre_tok_words,true,pred,sentence,agreement
0,الصالحية,الصالحية,['الصالحية'],['الصالحية'],B-LOC,B-LOC,sentence#0,True
1,المفرق,المفرق,['المفرق'],['المفرق'],B-LOC,B-LOC,sentence#0,True
2,-,-,['-'],['-'],O,O,sentence#0,True
3,غيث,غيث,['غيث'],['غيث'],B-PERS,B-PERS,sentence#0,True
4,الطراونة,الطراونة,"['الطرا', '##ون', '##ة']","['الطرا', '##ون', '##ة']",I-PERS,I-PERS,sentence#0,True
5,-,-,['-'],['-'],O,O,sentence#0,True
6,أمر,أمر,['أمر'],['أمر'],O,O,sentence#0,True
7,جلالة,جلالة,"['جلال', '##ة']","['جلال', '##ة']",O,O,sentence#0,True
8,الملك,الملك,['الملك'],['الملك'],O,O,sentence#0,True
9,عبدالله,عبدالله,['عبدالله'],['عبدالله'],B-PERS,B-PERS,sentence#0,True
10,الثاني,الثاني,['الثاني'],['الثاني'],I-PERS,I-PERS,sentence#0,True
11,أمس,أمس,['أمس'],['أمس'],O,O,sentence#0,True
12,بتنفيذ,بتنفيذ,['بتنفيذ'],['بتنفيذ'],O,O,sentence#0,True
13,حزمة,حزمة,"['حزم', '##ة']","['حزم', '##ة']",O,O,sentence#0,True
14,من,من,['من'],['من'],O,O,sentence#0,True
15,المشاريع,المشاريع,['المشاريع'],['المشاريع'],O,O,sentence#0,True
16,التعليمية,التعليمية,['التعليمية'],['التعليمية'],O,O,sentence#0,True
17,والصحية,والصحية,['والصحية'],['والصحية'],O,O,sentence#0,True
18,والتنموية,والتنموية,['والتنموية'],['والتنموية'],O,O,sentence#0,True
19,وأخرى,وأخرى,['وأخرى'],['وأخرى'],O,O,sentence#0,True
20,مرتبطة,مرتبطة,['مرتبطة'],['مرتبطة'],O,O,sentence#0,True
21,بالأندية,بالأندية,['بالأندية'],['بالأندية'],O,O,sentence#0,True
22,الشبابية,الشبابية,['الشبابية'],['الشبابية'],O,O,sentence#0,True
23,و,و,['و'],['و'],O,O,sentence#0,True
24,27,27,['27'],['27'],O,O,sentence#0,True
25,وحدة,وحدة,['وحدة'],['وحدة'],O,O,sentence#0,True
26,سكنية,سكنية,['سكنية'],['سكنية'],O,O,sentence#0,True
27,في,في,['في'],['في'],O,O,sentence#0,True
28,قضاء,قضاء,['قضاء'],['قضاء'],O,O,sentence#0,True
29,الصالحية,الصالحية,['الصالحية'],['الصالحية'],B-LOC,B-LOC,sentence#0,True
30,ونايفة,ونايفة,"['ونا', '##يفة']","['ونا', '##يفة']",B-LOC,O,sentence#0,False
31,في,في,['في'],['في'],O,O,sentence#0,True
32,البادية,البادية,['البادية'],['البادية'],O,B-LOC,sentence#0,False
33,الشرقية,الشرقية,['الشرقية'],['الشرقية'],O,O,sentence#0,True
34,خلال,خلال,['خلال'],['خلال'],O,O,sentence#0,True
35,ستة,ستة,['ستة'],['ستة'],O,O,sentence#0,True
36,اشهر,اشهر,['اشهر'],['اشهر'],O,O,sentence#0,True
37,بتمويل,بتمويل,['بتمويل'],['بتمويل'],O,O,sentence#0,True
38,من,من,['من'],['من'],O,O,sentence#0,True
39,الديوان,الديوان,['الديوان'],['الديوان'],O,O,sentence#0,True
40,الملكي,الملكي,['الملكي'],['الملكي'],O,O,sentence#0,True
41,الهاشمي,الهاشمي,['الهاشمي'],['الهاشمي'],O,O,sentence#0,True
42,برند,برند,"['برن', '##د']","['برن', '##د']",B-PERS,O,sentence#1,False
43,جلالته,جلالته,['جلالته'],['جلالته'],O,O,sentence#1,True
44,خلال,خلال,['خلال'],['خلال'],O,O,sentence#1,True
45,اللقاء,اللقاء,['اللقاء'],['اللقاء'],O,O,sentence#1,True
46,الذي,الذي,['الذي'],['الذي'],O,O,sentence#1,True
47,جمعه,جمعه,['جمعه'],['جمعه'],O,O,sentence#1,True
48,وأعضاء,وأعضاء,['وأعضاء'],['وأعضاء'],O,O,sentence#1,True
49,اللجنة,اللجنة,['اللجنة'],['اللجنة'],O,O,sentence#1,True
50,المحورية,المحورية,['المحورية'],['المحورية'],O,O,sentence#1,True
51,المعنية,المعنية,['المعنية'],['المعنية'],O,O,sentence#1,True
52,في,في,['في'],['في'],O,O,sentence#1,True
53,تحديد,تحديد,['تحديد'],['تحديد'],O,O,sentence#1,True
54,مطالب,مطالب,['مطالب'],['مطالب'],O,O,sentence#1,True
55,القضاء,القضاء,['القضاء'],['القضاء'],O,O,sentence#1,True
56,انه,انه,['انه'],['انه'],O,O,sentence#1,True
57,يقدر,يقدر,['يقدر'],['يقدر'],O,O,sentence#1,True
58,الظروف,الظروف,['الظروف'],['الظروف'],O,O,sentence#1,True
59,والتحديات,والتحديات,['والتحديات'],['والتحديات'],O,O,sentence#1,True
60,التي,التي,['التي'],['التي'],O,O,sentence#1,True
61,يواجهها,يواجهها,['يواجهها'],['يواجهها'],O,O,sentence#1,True
62,أبناء,أبناء,['أبناء'],['أبناء'],O,O,sentence#1,True
63,الصالحية,الصالحية,['الصالحية'],['الصالحية'],B-LOC,B-LOC,sentence#1,True
64,ونايفة,ونايفة,"['ونا', '##يفة']","['ونا', '##يفة']",B-LOC,B-LOC,sentence#1,True
65,خصوصا,خصوصا,['خصوصا'],['خصوصا'],O,O,sentence#1,True
66,فيما,فيما,['فيما'],['فيما'],O,O,sentence#1,True
67,يتعلق,يتعلق,['يتعلق'],['يتعلق'],O,O,sentence#1,True
68,بمشكلتي,بمشكلتي,"['بمش', '##كل', '##ت', '##ي']","['بمش', '##كل', '##ت', '##ي']",O,O,sentence#1,True
69,الفقر,الفقر,['الفقر'],['الفقر'],O,O,sentence#1,True
70,والبطالة,والبطالة,['والبطالة'],['والبطالة'],O,O,sentence#1,True
71,مرتفع,مرتفع,['مرتفع'],['مرتفع'],O,O,sentence#2,True
72,جلالته,جلالته,['جلالته'],['جلالته'],O,O,sentence#2,True
73,أريد,أريد,['أريد'],['أريد'],O,O,sentence#2,True
74,ان,ان,['ان'],['ان'],O,O,sentence#2,True
75,استمع,استمع,['استمع'],['استمع'],O,O,sentence#2,True
76,منكم,منكم,['منكم'],['منكم'],O,O,sentence#2,True
77,عن,عن,['عن'],['عن'],O,O,sentence#2,True
78,المشاريع,المشاريع,['المشاريع'],['المشاريع'],O,O,sentence#2,True
79,التي,التي,['التي'],['التي'],O,O,sentence#2,True
80,تقترحونها,تقترحونها,"['تقترح', '##ونها']","['تقترح', '##ونها']",O,O,sentence#2,True
81,وأنا,وأنا,['وأنا'],['وأنا'],O,O,sentence#2,True
82,جاهز,جاهز,['جاهز'],['جاهز'],O,O,sentence#2,True
83,لتقديم,لتقديم,['لتقديم'],['لتقديم'],O,O,sentence#2,True
84,كامل,كامل,['كامل'],['كامل'],O,O,sentence#2,True
85,الدعم,الدعم,['الدعم'],['الدعم'],O,O,sentence#2,True
86,لكم,لكم,['لكم'],['لكم'],O,O,sentence#2,True
87,زادت,زادت,['زادت'],['زادت'],O,O,sentence#3,True
88,جلالته,جلالته,['جلالته'],['جلالته'],O,O,sentence#3,True
89,على,على,['على'],['على'],O,O,sentence#3,True
90,انه,انه,['انه'],['انه'],O,O,sentence#3,True
91,سوف,سوف,['سوف'],['سوف'],O,O,sentence#3,True
92,يعود,يعود,['يعود'],['يعود'],O,O,sentence#3,True
93,الى,الى,['الى'],['الى'],O,O,sentence#3,True
94,البادية,البادية,['البادية'],['البادية'],O,O,sentence#3,True
95,الشمالية,الشمالية,['الشمالية'],['الشمالية'],O,O,sentence#3,True
96,الشرقية,الشرقية,['الشرقية'],['الشرقية'],O,O,sentence#3,True
97,خلال,خلال,['خلال'],['خلال'],O,O,sentence#3,True
98,الأشهر,الأشهر,['الأشهر'],['الأشهر'],O,O,sentence#3,True
99,القليلة,القليلة,['القليلة'],['القليلة'],O,O,sentence#3,True
